rate_plan_name,delivery,software,support
Education (Starter) - 3 Year,Self Managed,0.056,0.944
Education (Ultimate) - 3 Year,Self Managed,0.017,0.983
GitLab EE Premium,Self Managed,0.1,0.9
GitLab EE Premium | 2 Year,Self Managed,0.053,0.947
GitLab EE Premium | 3 Year,Self Managed,0.036,0.964
GitLab EE Premium | 5 Year,Self Managed,0.022,0.978
GitLab EE Starter,Self Managed,0.15,0.85
GitLab EE Starter - Monthly,Self Managed,0.15,0.85
GitLab EE Starter | 2 Year,Self Managed,0.081,0.919
GitLab EE Ultimate,Self Managed,0.05,0.95
GitLab EE Ultimate | 2 Year,Self Managed,0.026,0.974
GitLab EE Ultimate | 3 Year,Self Managed,0.017,0.983
GitLab Enterprise Edition,Self Managed,0.15,0.85
GitLab Enterprise Edition | 2 Years,Self Managed,0.081,0.919
GitLab Enterprise Edition | 3 Years,Self Managed,0.056,0.944
GitLab Enterprise Edition | 4 Years,Self Managed,0.042,0.958
GitLab Enterprise Edition | 5 Years,Self Managed,0.034,0.966
GitLab Geo,Self Managed,0.15,0.85
Premium - 1 Year,Self Managed,0.1,0.9
Premium - 1 Year (Guest Access),Self Managed,0.1,0.9
Premium - 1 Year (Reporter Access),Self Managed,0.1,0.9
Premium - 2 Year,Self Managed,0.053,0.947
Premium - 3 Year,Self Managed,0.036,0.964
Premium - 4 Year,Self Managed,0.027,0.973
Premium - 5 Year,Self Managed,0.022,0.978
Premium - Monthly,Self Managed,0.1,0.9
Starter - 1 Year,Self Managed,0.15,0.85
Starter - 2 Year,Self Managed,0.081,0.919
Starter - 3 Year,Self Managed,0.056,0.944
Starter - 4 Year,Self Managed,0.042,0.958
Starter - 5 Year,Self Managed,0.034,0.966
Starter - Monthly,Self Managed,0.15,0.85
Trueup,Self Managed,1,1
Ultimate - 1 Year (Guest Access),Self Managed,0.05,0.95
Ultimate - 1 Year (EDU or OSS),Self Managed,0.05,0.95
Ultimate Pack - 3 Year (AWS),Self Managed,0.017,0.983
Ultimate Pack - 2 Year (AWS),Self Managed,0.026,0.974
Ultimate Pack - 4 Year (AWS),Self Managed,0.013,0.987
Ultimate Pack - 1 Year (AWS),Self Managed,0.05,0.95
Ultimate Pack - 5 Year (AWS),Self Managed,0.01,0.99
Ultimate - 1 Year,Self Managed,0.05,0.95
Ultimate - 1 Year (EDU or OSS) w/ Support,Self Managed,0.05,0.95
Ultimate - 1 Year (Reporter Access),Self Managed,0.05,0.95
Ultimate - 1 Year (Y Combinator) w/ Support,Self Managed,0.05,0.95
Ultimate - 2 Year,Self Managed,0.026,0.974
Ultimate - 2 Year (Reporter Access),Self Managed,0.026,0.974
Ultimate - 3 Year,Self Managed,0.017,0.983
Ultimate - 3 Year (EDU or OSS) w/ Support,Self Managed,0.017,0.983
Premium - monthly (Guest Access),Self Managed,0.1,0.9
Ultimate - 4 Year,Self Managed,0.013,0.987
Ultimate - 5 Year,Self Managed,0.01,0.99
Ultimate - Monthly,Self Managed,0.05,0.95
Ultimate Pack - 5 User Pack (AWS Hourly),Self Managed,0.05,0.95